Suburb,Rank
Ellis Lane,401
Harrington Park,425
Currans Hill,417
Wedderburn,50
Woodbine,204
Raby,111
Denham Court,253
Minto Heights,217
Glenfield,77
St Andrews,154
Glen Alpine,196
Bargo,306
Appin,414
Buxton,299
Oakdale,390
Megalong Valley,257
Lapstone,444
Blue Mountains,349
Leura,220
Linden,346
Winmalee,412
Wentworth Falls,329
Cambridge Park,241
Cranebrook,278
Leonay,382
Regentville,436
Jamisontown Penrith,285
Werrington,144
Orchard Hills,391
Penrith,78
Silverdale,369
Clarendon,239
Bligh Park,208
Londonderry,326
Erskine Park,383
St Clair,320
Colyton,41
Auburn,31
Silverwater,471
Regents Park,175
Carlingford,451
Rydalmere,316
Dundas Valley,367
Sefton,57
Fairfield,9
Clyde,81
Pemulwuy,371
Guildford Granville,20
Merrylands West,99
Holroyd,143
Girraweenmead,247
North Parramatta,302
North Rocks,480
Northmead,372
Rosehill,240
Constitution Hill,330
Winston Hills,452
Epping Epping,475
Cheltenham,502
Denistone,427
Huntleys Point,446
Woolwich,498
Marsfield,402
North Ryde Ryde,441
Putney,413
Meadowbank,397
Miller,1
Greendale,286
Leppington,321
Cecil Hills,282
Horningsea Park,396
Bonnyrigg,64
Abbotsbury,292
Lansvale,4
Mount Pritchard,15
Canley Heights,7
Edensor Park,242
Fairfield,29
Prairiewood,168
Kemps Creek,370
Wetherill Park,83
Wakeley,138
Casula,288
Moorebank,373
Wattle Grove,435
Warwick Farm,11
Lurnea,206
Lilli Pilli,438
Bundeena,428
Grays Point,464
Yowie Bay,384
Taren Point,423
Loftus,456
Waterfall,418
Alfords Point,503
Woronora,473
Jannali,468
Kirrawee,381
