Suburb,Rank,lat,lon
Dudley,293,-32.9890099,151.7192954
Hillsborough,294,-32.6566696,151.4677793
Windale,17,-32.9916667,151.6813889
Redhead,351,-33.0111111,151.7077778
Caves Beach,207,-33.1122864,151.6449973
Eleebana,453,-32.9955515,151.6344322
Boolaroo,303,-32.9466667,151.6277778
Teralba,76,-32.9624833,151.6033929
Silverwater,256,-33.1003231,151.5595707
Cameron Park,279,-32.9044444,151.6091667
Cooranbong,214,-33.0758112,151.4539993
Awaba,198,-33.0130039,151.5418634
Rathmines,312,-33.0395297,151.5956536
Killingworth,183,-32.9336025,151.5590286
Kotara,377,-32.941313,151.6985101
Hexham,25,-32.8289189,151.6842018
Broadmeadow,229,-32.9225,151.7302778
New Lambton,324,-32.9277778,151.7108333
Minmi,347,-32.8816667,151.6177778
Warabrook,159,-32.8816667,151.7177778
The Junction,429,-32.9380556,151.76
Cooks Hill,394,-32.9316667,151.7677778
Kooragang,235,-32.8761111,151.7677778
Jesmond,103,-32.9036111,151.6941667
Fullerton Cove,147,-32.84,151.8316667
Elermore Vale,203,-32.915,151.6677778
Waratah Lambton,179,-32.9051679,151.722533930084
Tighes Hill,236,-32.9052778,151.7541667
Ballina,298,-28.8634654,153.5619701
Bangalow,344,-28.6860209,153.5260068
Ocean Shores,174,-28.5205629,153.5399972
Byron Bay,276,-28.6434398,153.6140262
Evans Head,58,-29.1174093,153.4312097
Skennars Head,395,-28.8271946,153.6011715
Mullumbimby,191,-28.5534002,153.4998099
Casino,68,-28.8640919,153.0482959
Goonellabah,178,-28.815,153.3177777
Kyogle,56,-28.6202144,153.0034617
Lismore,266,-28.8066667,153.2858333
Fingal Head,245,-32.7544584,152.1746075
Murwillumbah,200,-28.3267617,153.3971541
Pottsville,218,-28.3888473,153.5646999
Tweed Heads,165,-28.181708,153.5469621
Griffith (NSW),127,-34.2870772,146.0551022
Griffith,219,-34.2870772,146.0551022
Leeton,141,-34.5483333,146.4011111
Narrandera,71,-34.7483333,146.5511111
Tumbarumba,151,-35.7764898,148.010062
Tumut,188,-35.3038889,148.2233333
Cootamundra,109,-34.6394513,148.025723
Gundagai,149,-35.0614045,148.1059794
Junee,112,-34.8650097,147.5826574
Temora,130,-34.4473796,147.5333192
Wagga Wagga,291,-35.1149957,147.3677739
Kangaroo Valley,328,-34.7351573,150.5325429
Currarong,182,-35.015828,150.8254124
Vincentia,304,-35.0703092,150.675186
Bomaderry,227,-34.8538508,150.6090534
Nowra,62,-34.8741198,150.6004709
Erowal Bay,54,-35.1005802,150.6549316
Berrara,43,-35.2054766,150.5501766
Woollamia,311,-35.018794,150.6597209
Ulladulla,199,-35.3621503,150.4751713
Bowral,408,-34.4816626,150.4177868
Colo Vale,281,-34.4004648,150.4839022
Mittagong,267,-34.4500664,150.4473469
Berrima,244,-34.4894695,150.3362846
Fitzroy Falls,392,-34.6479995,150.4825447
Southern Highlands,356,-34.4499267,150.4520111
Baulkham Hills (East),461,-33.7589171,150.9690447
Baulkham Hills (West) - Bella Vista,509,-33.7330884,150.9579611
Castle Hill,499,-33.7314959,151.0057603
Cherrybrook,500,-33.7227778,151.0461111
Glenhaven,516,-33.6983326,150.998329
Kellyville,515,-33.7158272,150.954993
West Pennant Hills,520,-33.7457069,151.04812
Wisemans Ferry,474,-33.3852776,150.9868024
Laughtondale,467,-33.4066667,151.0261111
St Albans,310,-33.2924423,150.9718531
Ebenezer,410,-33.5316639,150.8677693
McGraths Hill,393,-32.44825,152.39162
Beaumont Hills,512,-33.6997222,150.9405556
Blacktown (East) - Kings Park,189,-33.7678792,150.907731
Blacktown (North) - Marayong,158,-33.7678792,150.907731
Blacktown (South),205,-33.7642133,150.9049061
Woodcroft,186,-33.7586111,150.8783333
Kings Langley,307,-33.7505506,150.9372174
Toongabbie,280,-33.7866894,150.9526498
Glenwood,487,-33.7331483,150.928232
Kellyville Ridge,514,-33.7025,150.9186111
Acacia Gardens,422,-33.7324595,150.9125321
Marsden Park,201,-33.6983333,150.8344444
Emerton,2,-33.7477024,150.8043608
Plumpton,263,-33.7566667,150.8427778
Tregear,3,-33.7486957,150.7957569
Whalan,12,-33.7566667,150.8094444
Minchinbury,249,-33.7866667,150.8272222
Botany,363,-33.9483333,151.2011111
Daceyville,195,-33.9316667,151.2261111
Marrickville,289,-33.9103854,151.1556908
Stanmore,431,-33.8912603,151.1653498
St Peters,388,-33.915,151.1761111
Darlinghurst,443,-33.8811262,151.2181528
Alexandria,479,-33.9111586,151.1950848
Forest Lodge,385,-33.8805556,151.1783333
