Suburb,Children,Yadult,Oadult,Old,lat,lon
Brisbane,198388,459814,382643,90346,-33.37910005,151.247037698971
Bundaberg,17579,25055,38255,13087,-33.7696204,145.67212
Burdekin,3565,5112,7008,2203,-33.7488003,151.1696713
Burke,107,228,212,9,-34.054676,151.1521016
Cairns,36162,57265,63949,11242,-33.8638031,151.1413193
Cook,791,1603,1769,230,-33.86494225,151.227149359362
Croydon,78,121,93,30,-33.8777935,151.1156502
Diamantina,34,123,121,14,-34.5892181,150.7801905
Etheridge,161,234,416,107,-36.4796599,148.269365
Flinders,362,459,771,236,-34.580956,150.846003
Gladstone,14396,22379,23540,3640,-31.0251848,152.9484567
Gold Coast,98121,187509,198847,53367,-28.162489,153.5058177
Goondiwindi,2602,3115,4140,1175,-34.25650535,150.5352356
Hinchinbrook,1996,2853,4940,1911,-33.915,150.8677778
Hope Vale,302,494,254,30,-32.38606,150.4368
Ipswich,43193,68908,58926,12078,-33.7254291,150.9363625
Isaac,5993,9629,8042,611,-33.9253965,151.2215891
Lockhart River,122,222,158,27,-35.2231252,146.7171015
Lockyer Valley,8043,12028,14227,3354,-30.3005417,153.1001419
Logan,67913,109650,104343,18761,-32.9460979,151.6502236
Longreach,1090,1357,1454,343,-34.8713889,150.5227778
Mackay,25620,42659,44872,8758,-34.0426177,151.1237004
McKinlay,191,444,389,61,-33.385283,142.5684845
Maranoa,3039,4639,4927,1195,-33.4039097,151.3644137
Moreton Bay,87860,133180,152176,35698,-32.0790826,149.6058765
Mornington,432,399,357,26,-33.7380926,150.9919722
North Burnett,1974,2525,4390,1471,-34.0175714,151.1076061
Palm Island,767,1030,737,56,-33.6005473,151.3231536
Paroo,432,555,730,186,-29.901821,144.1371901
Quilpie,249,245,419,70,-32.2622636,149.2417064
Richmond,164,264,356,61,-33.6009721,150.7496405
Somerset,4842,6208,9866,2371,-31.8816667,152.1594444
South Burnett,6804,8409,13262,4166,-33.89037295,151.205182959738
Tablelands,9174,12014,19374,5613,-29.7999464,151.9564461
Torres,1052,1370,1044,137,-34.010835,151.2047983
Whitsunday,6317,11938,13109,2652,-34.5907057,150.8610232
Winton,264,369,592,157,-31.8342354,147.1714023
Woorabinda,327,390,257,22,-33.4772128,145.532398975958
Adelaide,1278,12792,6413,1717,-34.0085764,151.0996291
Adelaide Hills,7733,10358,18115,3626,-33.8869161,151.2112302
Alexandrina,3997,5772,10879,4176,-33.9472133,150.9438598
Barossa,4472,6222,9332,2782,-32.9934812,151.6468297
Barunga West,376,472,1144,460,-36.2517609,150.1468026
Burnside,6906,12662,18337,6595,-33.7972745,151.0138338
Campbelltown,8367,16218,18782,7526,-34.0636914,150.8206159
Charles Sturt,17564,36705,42038,14929,-35.0636071,147.3552234
Elliston,200,293,497,78,-31.6454525,146.1986966
Franklin Harbour,250,325,596,126,-30.2797748,153.1068537
Gawler,3812,6668,8183,2927,-33.7052543,151.1448076
Goyder,775,932,1865,667,-33.7245421,150.3095004
Grant,1583,2047,3650,732,-32.7383618,151.5602712
Holdfast Bay,4569,11101,15162,5931,-28.7816667,150.7677778
Kangaroo Island,814,1038,2138,563,-34.0877803,151.0385485
Kimba,199,313,430,161,-33.7150598,151.0697659
Kingston,356,600,1090,361,-35.0034072,146.7772252
Light,3200,4305,5908,1046,-33.215,147.1177778
Marion,14183,30389,32455,10547,-33.8839776,151.1451118
Mitcham,11370,20228,25720,8402,-33.9144981,151.0240218
Murray Bridge,3887,6402,7790,2500,-35.1038912,143.3464672
Peterborough,294,352,820,319,-34.5448071,150.8656311
Playford,19423,31282,27485,6879,-33.9371298,150.9574661
Prospect,3476,8166,7586,1905,-33.7983333,150.9261111
Robe,204,400,590,193,-31.65674,141.32662
Salisbury,26310,50059,47927,11626,-32.215,151.5677778
Tatiara,1397,1894,2630,774,-33.7003905,151.2866332
The Coorong,1052,1409,2380,745,-32.7613964,148.7896741
Wakefield,1403,1781,2743,899,-32.9483313,151.5511055
Walkerville,1174,2052,3001,1141,-32.2286931,149.6656503
Wattle Range,2207,3021,5014,1427,-32.6250271,151.7156343
West Torrens,8641,22445,19350,7722,-33.8363653,150.9689206
Whyalla,4356,7325,8452,2429,-33.9306238,150.879327
Unincorporated SA,700,1529,2008,227,-31.1929013,141.877145923702
Albany,7067,10541,13966,4688,-33.823807,151.2000217
Ashburton,1609,5145,4145,60,-33.8332651,151.0605203
Bassendean,2723,5780,5841,1579,-30.065,151.1427778
Bayswater,10910,27518,24252,6813,-32.41389,151.0287374
Belmont,6430,16984,12827,3842,-33.0331697,151.6585586
Beverley,291,262,773,240,-31.6940208,149.738699
Boddington,381,939,1020,131,-34.4944916,150.7694735
Broome,4073,6794,5885,499,-33.8916162,151.2404131
Bunbury,5795,11627,12626,3575,-34.0018536,150.8424295
Cambridge,5740,8565,10623,3069,-33.4410402,149.832339
Canning,16065,40304,32696,7291,-36.6739852,149.8444944
Capel,4411,5215,6049,772,-30.26477,150.17865
Carnarvon,1304,1913,2421,501,-34.68379,150.29166
Chapman Valley,248,317,557,92,-32.37526,152.30341
Claremont,1574,3518,3752,1515,-33.384009,143.9082874
Cockburn,20782,39797,35743,7029,-31.0659296,151.0645221
Collie,1820,2988,4042,842,-31.665,148.3011111
Coolgardie,1036,1707,1430,151,-28.915,153.4594444
Cottesloe,1417,2888,3413,854,-34.0343861,151.1649039
Cranbrook,232,319,443,107,-33.8741919,151.2553785
Cue,39,88,148,23,-29.8684465,150.5719489
Denmark,1086,1331,2583,748,-34.2799366,150.9491067
Dundas,207,418,489,68,-33.8019444,151.0433333
East Pilbara,1867,6445,4518,130,-36.0893487,146.9297535
Esperance,3092,4377,5365,1408,-33.0142146,151.6792848
Exmouth,517,837,1040,176,-30.3816667,151.5844444
Fremantle,4495,10498,11904,3424,-34.0529917,151.0370825
Halls Creek,1011,1689,1117,123,-29.8818254,150.5800649
Harvey,5774,8494,9788,1868,-33.6923509,149.859870121631
Irwin,760,864,1640,516,-33.9380458,151.1161365
Joondalup,31241,55623,68581,12178,-34.5984667,150.8592088
Kent,120,197,179,32,-35.11400965,147.352856984649
Kwinana,7744,13949,10587,2133,-31.4698157,152.923344
Lake Grace,279,342,634,115,-33.77781925,150.95329915
Leonora,363,1416,935,50,-33.718122,151.1689048
Meekatharra,233,626,619,43,-34.0531028,151.0375009
Melville,17377,35728,40979,12251,-31.092305,152.8372942
Menzies,82,133,190,17,-33.8657443,151.2066212
Merredin,673,1107,1205,315,-34.054394,151.0341353
Moora,562,790,951,232,-33.8788408,150.9946945
Mosman Park,1621,3372,3529,986,-33.8358812,151.2348696
Mount Marshall,87,149,190,45,-36.85715,149.4172
Murchison,18,42,49,18,-31.41246,143.37568
Murray,3231,4435,6575,2063,-35.1038912,143.3464672
Nedlands,4348,6920,9151,2499,-32.925441,151.6735243
Northam,2408,3749,4444,1129,-33.9226058,151.028712
Northampton,630,727,1570,452,-33.9617614,150.8879467
Peppermint Grove,300,499,682,200,-34.066583,151.0017754
Perth,1053,12369,5851,1012,-33.7712738,151.1858382
Ravensthorpe,488,660,946,194,-34.5692243,150.7859156
Roebourne,4943,11796,8930,238,-34.0548578,151.0384594
Sandstone,11,37,60,8,-33.3021534,149.9724087
Shark Bay,156,261,416,95,-33.8492083,151.2661864
Stirling,36878,89310,74475,22654,-31.9756205,141.3772995
Subiaco,2773,8696,6614,1610,-33.809095,151.040641
Swan,27101,45913,44196,7572,-36.1224949,148.727492857143
Victoria Park,4954,18029,11099,3600,-33.9001404,151.2506591
Victoria Plains,185,287,379,70,-33.5157584,149.5247969
Vincent,4919,17683,11374,2716,-32.9267682,151.5049178
Wagin,388,470,826,291,-34.8490757,150.745769
West Arthur,196,206,381,104,-32.54231,148.91038
Williams,186,286,371,85,-32.4058686,151.760191
Yilgarn,294,603,690,111,-32.8280534,151.3677859
York,614,833,1646,488,-32.92912765,151.786126906248
Brighton,3895,5212,5673,1033,-33.8786995,151.2142835
Burnie,3930,6261,7505,2290,-33.9104052,151.2597269
Central Coast,4131,5737,9613,2866,-33.4256642,151.3985347
Clarence,9943,15814,21356,6469,-33.4733333,150.2261111
Derwent Valley,1945,2832,4112,997,-33.8828486,151.1890391
Dorset,1313,1764,3036,1045,-33.7327719,151.1617845
Flinders,116,95,482,91,-34.580956,150.846003
George Town,1412,1752,2888,776,-31.8983333,152.1927778
Hobart,7244,18935,19135,5159,-33.7720883,151.1865999
Huon Valley,3163,4194,7081,1721,-35.8983333,146.8511111
Kentish,1223,1628,3003,641,-32.9183973,151.7166413
King Island,239,412,736,218,-33.5850347,150.405126
Meander Valley,3545,5239,8370,2389,-32.9021645,151.6109442
Sorell,2604,3950,5570,1413,-34.0301971,151.0132295
Tasman,388,405,1186,384,-33.7765403,151.1276059
West Coast,905,1413,1941,448,-28.162489,153.5058177
West Tamar,4404,5893,9904,2811,-33.8644878,150.9196435
Barkly,2132,3245,2377,302,-33.6645376,150.8046983
Darwin,14932,33736,29425,3577,-33.9823213,151.2458009
East Arnhem,3190,4848,2574,160,-33.7582622,151.2468054
Katherine,2691,4028,3809,400,-33.7982022,151.1795899
Litchfield,4127,7379,9105,769,-33.6817202,150.9411525
MacDonnell,1635,3250,1877,158,-33.8674881,150.9291359
Palmerston,8230,14165,8878,815,-33.8775229,151.1868112
West Arnhem,2034,3260,2015,105,-33.7582622,151.2468054
