Australian Bureau of Statistics,,,,,,,,,
1270055006C001 Statistical Area Level 1 2011 to Local Government Area 2011,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,
Table 2 QI indicator,,,,,,,,,
,,,,,,,,,
LGA_CODE_2011,LGA_NAME_2011,QI_INDICATOR,,,,,,,
18100,Weddin (A),Good,,,,,,,
18150,Wellington (A),Good,,,,,,,
18200,Wentworth (A),Good,,,,,,,
18250,Willoughby (C),Good,,,,,,,
18350,Wingecarribee (A),Good,,,,,,,
18400,Wollondilly (A),Good,,,,,,,
18450,Wollongong (C),Good,,,,,,,
18500,Woollahra (A),Good,,,,,,,
18550,Wyong (A),Good,,,,,,,
18710,Yass Valley (A),Good,,,,,,,
18750,Young (A),Good,,,,,,,
19399,Unincorporated NSW,Good,,,,,,,
20110,Alpine (S),Good,,,,,,,
20260,Ararat (RC),Good,,,,,,,
20570,Ballarat (C),Good,,,,,,,
20660,Banyule (C),Good,,,,,,,
20740,Bass Coast (S),Good,,,,,,,
20830,Baw Baw (S),Good,,,,,,,
20910,Bayside (C),Good,,,,,,,
21010,Benalla (RC),Good,,,,,,,
21110,Boroondara (C),Good,,,,,,,
21180,Brimbank (C),Good,,,,,,,
21270,Buloke (S),Good,,,,,,,
21370,Campaspe (S),Good,,,,,,,
21450,Cardinia (S),Good,,,,,,,
21610,Casey (C),Good,,,,,,,
21670,Central Goldfields (S),Good,,,,,,,
21750,Colac-Otway (S),Good,,,,,,,
21830,Corangamite (S),Good,,,,,,,
21890,Darebin (C),Good,,,,,,,
22110,East Gippsland (S),Good,,,,,,,
22170,Frankston (C),Good,,,,,,,
22250,Gannawarra (S),Good,,,,,,,
22310,Glen Eira (C),Good,,,,,,,
22410,Glenelg (S),Good,,,,,,,
22490,Golden Plains (S),Good,,,,,,,
22620,Greater Bendigo (C),Good,,,,,,,
22670,Greater Dandenong (C),Good,,,,,,,
22750,Greater Geelong (C),Good,,,,,,,
22830,Greater Shepparton (C),Good,,,,,,,
22910,Hepburn (S),Good,,,,,,,
22980,Hindmarsh (S),Good,,,,,,,
23110,Hobsons Bay (C),Good,,,,,,,
23190,Horsham (RC),Good,,,,,,,
23270,Hume (C),Good,,,,,,,
23350,Indigo (S),Good,,,,,,,
23430,Kingston (C),Good,,,,,,,
23670,Knox (C),Good,,,,,,,
23810,Latrobe (C),Good,,,,,,,
23940,Loddon (S),Good,,,,,,,
24130,Macedon Ranges (S),Good,,,,,,,
24210,Manningham (C),Good,,,,,,,
24250,Mansfield (S),Good,,,,,,,
24330,Maribyrnong (C),Good,,,,,,,
24410,Maroondah (C),Good,,,,,,,
24600,Melbourne (C),Good,,,,,,,
24650,Melton (S),Good,,,,,,,
24780,Mildura (RC),Good,,,,,,,
24850,Mitchell (S),Good,,,,,,,
24900,Moira (S),Good,,,,,,,
24970,Monash (C),Good,,,,,,,
25060,Moonee Valley (C),Good,,,,,,,
25150,Moorabool (S),Good,,,,,,,
25250,Moreland (C),Good,,,,,,,
25340,Mornington Peninsula (S),Good,,,,,,,
25430,Mount Alexander (S),Good,,,,,,,
25490,Moyne (S),Good,,,,,,,
25620,Murrindindi (S),Good,,,,,,,
25710,Nillumbik (S),Good,,,,,,,
25810,Northern Grampians (S),Good,,,,,,,
25900,Port Phillip (C),Good,,,,,,,
25990,Pyrenees (S),Good,,,,,,,
26080,Queenscliffe (B),Good,,,,,,,
26170,South Gippsland (S),Good,,,,,,,
26260,Southern Grampians (S),Good,,,,,,,
26350,Stonnington (C),Good,,,,,,,
26430,Strathbogie (S),Good,,,,,,,
26490,Surf Coast (S),Good,,,,,,,
26610,Swan Hill (RC),Good,,,,,,,
26670,Towong (S),Good,,,,,,,
26700,Wangaratta (RC),Good,,,,,,,
26730,Warrnambool (C),Good,,,,,,,
26810,Wellington (S),Good,,,,,,,
26890,West Wimmera (S),Good,,,,,,,
26980,Whitehorse (C),Good,,,,,,,
27070,Whittlesea (C),Good,,,,,,,
27170,Wodonga (RC),Good,,,,,,,
27260,Wyndham (C),Good,,,,,,,
27350,Yarra (C),Good,,,,,,,
27450,Yarra Ranges (S),Good,,,,,,,
27630,Yarriambiack (S),Good,,,,,,,
29399,Unincorporated Vic,Good,,,,,,,
30250,Aurukun (S),Good,,,,,,,
30300,Balonne (S),Good,,,,,,,
30370,Banana (S),Good,,,,,,,
30410,Barcaldine (R),Good,,,,,,,
30450,Barcoo (S),Good,,,,,,,
30760,Blackall Tambo (R),Good,,,,,,,
30900,Boulia (S),Good,,,,,,,
31000,Brisbane (C),Good,,,,,,,
31750,Bulloo (S),Good,,,,,,,
31820,Bundaberg (R),Good,,,,,,,
31900,Burdekin (S),Good,,,,,,,
31950,Burke (S),Acceptable,,,,,,,
32070,Cairns (R),Good,,,,,,,
32250,Carpentaria (S),Good,,,,,,,
32260,Cassowary Coast (R),Good,,,,,,,
32270,Central Highlands (R),Good,,,,,,,
32310,Charters Towers (R),Good,,,,,,,
32330,Cherbourg (S),Good,,,,,,,
32450,Cloncurry (S),Good,,,,,,,
32500,Cook (S),Good,,,,,,,
32600,Croydon (S),Good,,,,,,,
32750,Diamantina (S),Good,,,,,,,
32770,Doomadgee (S),Good,,,,,,,
33100,Etheridge (S),Good,,,,,,,
33200,Flinders (S),Good,,,,,,,
33220,Fraser Coast (R),Good,,,,,,,
33360,Gladstone (R),Good,,,,,,,
33430,Gold Coast (C),Good,,,,,,,
33610,Goondiwindi (R),Good,,,,,,,
33620,Gympie (R),Good,,,,,,,
33800,Hinchinbrook (S),Good,,,,,,,
33830,Hope Vale (S),Good,,,,,,,
33960,Ipswich (C),Good,,,,,,,
33980,Isaac (R),Good,,,,,,,
34420,Kowanyama (S),Good,,,,,,,
34570,Lockhart River (S),Good,,,,,,,
34580,Lockyer Valley (R),Good,,,,,,,
34590,Logan (C),Good,,,,,,,
34710,Longreach (R),Good,,,,,,,
34770,Mackay (R),Good,,,,,,,
34800,McKinlay (S),Good,,,,,,,
34830,Mapoon (S),Good,,,,,,,
34860,Maranoa (R),Good,,,,,,,
35010,Moreton Bay (R),Good,,,,,,,
35250,Mornington (S),Good,,,,,,,
35300,Mount Isa (C),Good,,,,,,,
35600,Murweh (S),Good,,,,,,,
35670,Napranum (S),Good,,,,,,,
35760,North Burnett (R),Good,,,,,,,
35780,Northern Peninsula Area (R),Good,,,,,,,
35790,Palm Island (S),Good,,,,,,,
35800,Paroo (S),Good,,,,,,,
36070,Pormpuraaw (S),Good,,,,,,,
36150,Quilpie (S),Good,,,,,,,
36250,Redland (C),Good,,,,,,,
36300,Richmond (S),Good,,,,,,,
36360,Rockhampton (R),Good,,,,,,,
36510,Scenic Rim (R),Good,,,,,,,
36580,Somerset (R),Good,,,,,,,
36630,South Burnett (R),Good,,,,,,,
36660,Southern Downs (R),Good,,,,,,,
36710,Sunshine Coast (R),Good,,,,,,,
36810,Tablelands (R),Good,,,,,,,
36910,Toowoomba (R),Good,,,,,,,
36950,Torres (S),Good,,,,,,,
36960,Torres Strait Island (R),Good,,,,,,,
37010,Townsville (C),Good,,,,,,,
37300,Weipa (T),Good,,,,,,,
37310,Western Downs (R),Good,,,,,,,
37340,Whitsunday (R),Good,,,,,,,
37400,Winton (S),Good,,,,,,,
37550,Woorabinda (S),Good,,,,,,,
37570,Wujal Wujal (S),Good,,,,,,,
37600,Yarrabah (S),Good,,,,,,,
40070,Adelaide (C),Good,,,,,,,
40120,Adelaide Hills (DC),Good,,,,,,,
40220,Alexandrina (DC),Good,,,,,,,
40250,Anangu Pitjantjatjara (AC),Good,,,,,,,
40310,Barossa (DC),Good,,,,,,,
40430,Barunga West (DC),Good,,,,,,,
40520,Berri and Barmera (DC),Good,,,,,,,
40700,Burnside (C),Good,,,,,,,
40910,Campbelltown (C),Good,,,,,,,
41010,Ceduna (DC),Good,,,,,,,
41060,Charles Sturt (C),Good,,,,,,,
41140,Clare and Gilbert Valleys (DC),Good,,,,,,,
41190,Cleve (DC),Good,,,,,,,
41330,Coober Pedy (DC),Good,,,,,,,
41560,Copper Coast (DC),Good,,,,,,,
41750,Elliston (DC),Good,,,,,,,
41830,Flinders Ranges (DC),Good,,,,,,,
41960,Franklin Harbour (DC),Good,,,,,,,
42030,Gawler (T),Good,,,,,,,
42110,Goyder (DC),Good,,,,,,,
42250,Grant (DC),Good,,,,,,,
42600,Holdfast Bay (C),Good,,,,,,,
42750,Kangaroo Island (DC),Good,,,,,,,
43080,Karoonda East Murray (DC),Good,,,,,,,
43220,Kimba (DC),Good,,,,,,,
43360,Kingston (DC),Good,,,,,,,
43650,Light (RegC),Good,,,,,,,
43710,Lower Eyre Peninsula (DC),Good,,,,,,,
43790,Loxton Waikerie (DC),Good,,,,,,,
43920,Mallala (DC),Good,,,,,,,
44000,Maralinga Tjarutja (AC),Good,,,,,,,
44060,Marion (C),Good,,,,,,,
44210,Mid Murray (DC),Good,,,,,,,
44340,Mitcham (C),Good,,,,,,,
44550,Mount Barker (DC),Good,,,,,,,
44620,Mount Gambier (C),Good,,,,,,,
44830,Mount Remarkable (DC),Good,,,,,,,
45040,Murray Bridge (RC),Good,,,,,,,
45090,Naracoorte and Lucindale (DC),Good,,,,,,,
45120,Northern Areas (DC),Good,,,,,,,
45290,Norwood Payneham St Peters (C),Good,,,,,,,
45340,Onkaparinga (C),Good,,,,,,,
45400,Orroroo/Carrieton (DC),Good,,,,,,,
45540,Peterborough (DC),Good,,,,,,,
45680,Playford (C),Good,,,,,,,
45890,Port Adelaide Enfield (C),Good,,,,,,,
46090,Port Augusta (C),Good,,,,,,,
46300,Port Lincoln (C),Good,,,,,,,
46450,Port Pirie City and Dists (M),Good,,,,,,,
46510,Prospect (C),Good,,,,,,,
46670,Renmark Paringa (DC),Good,,,,,,,
46860,Robe (DC),Good,,,,,,,
46970,Roxby Downs (M),Good,,,,,,,
47140,Salisbury (C),Good,,,,,,,
47290,Southern Mallee (DC),Good,,,,,,,
47490,Streaky Bay (DC),Good,,,,,,,
47630,Tatiara (DC),Good,,,,,,,
47700,Tea Tree Gully (C),Good,,,,,,,
47800,The Coorong (DC),Good,,,,,,,
47910,Tumby Bay (DC),Good,,,,,,,
47980,Unley (C),Good,,,,,,,
48050,Victor Harbor (C),Good,,,,,,,
48130,Wakefield (DC),Good,,,,,,,
48260,Walkerville (M),Good,,,,,,,
48340,Wattle Range (DC),Good,,,,,,,
48410,West Torrens (C),Good,,,,,,,
48540,Whyalla (C),Good,,,,,,,
48640,Wudinna (DC),Good,,,,,,,
48750,Yankalilla (DC),Good,,,,,,,
48830,Yorke Peninsula (DC),Good,,,,,,,
49399,Unincorporated SA,Good,,,,,,,
50080,Albany (C),Good,,,,,,,
50210,Armadale (C),Good,,,,,,,
50250,Ashburton (S),Good,,,,,,,
50280,Augusta-Margaret River (S),Good,,,,,,,
50350,Bassendean (T),Good,,,,,,,
50420,Bayswater (C),Good,,,,,,,
50490,Belmont (C),Good,,,,,,,
50560,Beverley (S),Good,,,,,,,
50630,Boddington (S),Good,,,,,,,
50770,Boyup Brook (S),Good,,,,,,,
50840,Bridgetown-Greenbushes (S),Good,,,,,,,
50910,Brookton (S),Good,,,,,,,
50980,Broome (S),Good,,,,,,,
51080,Broomehill-Tambellup (S),Good,,,,,,,
51120,Bruce Rock (S),Good,,,,,,,
51190,Bunbury (C),Good,,,,,,,
51260,Busselton (S),Good,,,,,,,
51310,Cambridge (T),Good,,,,,,,
51330,Canning (C),Good,,,,,,,
51400,Capel (S),Good,,,,,,,
51470,Carnamah (S),Good,,,,,,,
51540,Carnarvon (S),Good,,,,,,,
51610,Chapman Valley (S),Good,,,,,,,
51680,Chittering (S),Good,,,,,,,
51750,Claremont (T),Good,,,,,,,
51820,Cockburn (C),Good,,,,,,,
51890,Collie (S),Good,,,,,,,
51960,Coolgardie (S),Good,,,,,,,
52030,Coorow (S),Good,,,,,,,
52100,Corrigin (S),Good,,,,,,,
52170,Cottesloe (T),Good,,,,,,,
52240,Cranbrook (S),Good,,,,,,,
52310,Cuballing (S),Good,,,,,,,
52380,Cue (S),Good,,,,,,,
52450,Cunderdin (S),Good,,,,,,,
52520,Dalwallinu (S),Good,,,,,,,
52590,Dandaragan (S),Good,,,,,,,
52660,Dardanup (S),Good,,,,,,,
52730,Denmark (S),Good,,,,,,,
52800,Derby-West Kimberley (S),Good,,,,,,,
52870,Donnybrook-Balingup (S),Good,,,,,,,
52940,Dowerin (S),Good,,,,,,,
53010,Dumbleyung (S),Good,,,,,,,
53080,Dundas (S),Good,,,,,,,
53150,East Fremantle (T),Good,,,,,,,
53220,East Pilbara (S),Good,,,,,,,
53290,Esperance (S),Good,,,,,,,
53360,Exmouth (S),Good,,,,,,,
53430,Fremantle (C),Good,,,,,,,
53520,Geraldton-Greenough (C),Good,,,,,,,
53570,Gingin (S),Good,,,,,,,
53640,Gnowangerup (S),Good,,,,,,,
53710,Goomalling (S),Good,,,,,,,
53780,Gosnells (C),Good,,,,,,,
53920,Halls Creek (S),Good,,,,,,,
53990,Harvey (S),Good,,,,,,,
54060,Irwin (S),Good,,,,,,,
54130,Jerramungup (S),Good,,,,,,,
54170,Joondalup (C),Good,,,,,,,
54200,Kalamunda (S),Good,,,,,,,
54280,Kalgoorlie/Boulder (C),Good,,,,,,,
54340,Katanning (S),Good,,,,,,,
54410,Kellerberrin (S),Good,,,,,,,
54480,Kent (S),Good,,,,,,,
54550,Kojonup (S),Good,,,,,,,
54620,Kondinin (S),Good,,,,,,,
54690,Koorda (S),Good,,,,,,,
54760,Kulin (S),Good,,,,,,,
54830,Kwinana (T),Good,,,,,,,
54900,Lake Grace (S),Good,,,,,,,
54970,Laverton (S),Good,,,,,,,
55040,Leonora (S),Good,,,,,,,
55110,Mandurah (C),Good,,,,,,,
55180,Manjimup (S),Good,,,,,,,
55250,Meekatharra (S),Good,,,,,,,
55320,Melville (C),Good,,,,,,,
55390,Menzies (S),Good,,,,,,,
55460,Merredin (S),Good,,,,,,,
55530,Mingenew (S),Good,,,,,,,
55600,Moora (S),Good,,,,,,,
55670,Morawa (S),Good,,,,,,,
55740,Mosman Park (T),Good,,,,,,,
55810,Mount Magnet (S),Good,,,,,,,
55880,Mount Marshall (S),Good,,,,,,,
55950,Mukinbudin (S),Good,,,,,,,
56020,Mullewa (S),Good,,,,,,,
56090,Mundaring (S),Good,,,,,,,
56160,Murchison (S),Good,,,,,,,
56230,Murray (S),Good,,,,,,,
56300,Nannup (S),Good,,,,,,,
56370,Narembeen (S),Good,,,,,,,
56450,Narrogin (S),Good,,,,,,,
56520,Narrogin (T),Good,,,,,,,
56580,Nedlands (C),Good,,,,,,,
56620,Ngaanyatjarraku (S),Good,,,,,,,
56730,Northam (S),Good,,,,,,,
56790,Northampton (S),Good,,,,,,,
56860,Nungarin (S),Good,,,,,,,
56930,Peppermint Grove (S),Good,,,,,,,
57000,Perenjori (S),Good,,,,,,,
57080,Perth (C),Good,,,,,,,
57140,Pingelly (S),Good,,,,,,,
57210,Plantagenet (S),Good,,,,,,,
57280,Port Hedland (T),Good,,,,,,,
57350,Quairading (S),Good,,,,,,,
57420,Ravensthorpe (S),Good,,,,,,,
57490,Rockingham (C),Good,,,,,,,
57560,Roebourne (S),Good,,,,,,,
57630,Sandstone (S),Good,,,,,,,
57700,Serpentine-Jarrahdale (S),Good,,,,,,,
57770,Shark Bay (S),Good,,,,,,,
57840,South Perth (C),Good,,,,,,,
57910,Stirling (C),Good,,,,,,,
57980,Subiaco (C),Good,,,,,,,
58050,Swan (C),Good,,,,,,,
58190,Tammin (S),Good,,,,,,,
58260,Three Springs (S),Good,,,,,,,
58330,Toodyay (S),Good,,,,,,,
58400,Trayning (S),Good,,,,,,,
58470,Upper Gascoyne (S),Good,,,,,,,
58510,Victoria Park (T),Good,,,,,,,
58540,Victoria Plains (S),Good,,,,,,,
58570,Vincent (T),Good,,,,,,,
58610,Wagin (S),Good,,,,,,,
58680,Wandering (S),Good,,,,,,,
58760,Wanneroo (C),Good,,,,,,,
58820,Waroona (S),Good,,,,,,,
58890,West Arthur (S),Good,,,,,,,
59030,Westonia (S),Good,,,,,,,
59100,Wickepin (S),Good,,,,,,,
59170,Williams (S),Good,,,,,,,
59250,Wiluna (S),Good,,,,,,,
59310,Wongan-Ballidu (S),Good,,,,,,,
59320,Woodanilling (S),Good,,,,,,,
59330,Wyalkatchem (S),Good,,,,,,,
59340,Wyndham-East Kimberley (S),Good,,,,,,,
59350,Yalgoo (S),Good,,,,,,,
59360,Yilgarn (S),Good,,,,,,,
59370,York (S),Good,,,,,,,
60210,Break O'Day (M),Good,,,,,,,
60410,Brighton (M),Good,,,,,,,
60610,Burnie (C),Good,,,,,,,
60810,Central Coast (M),Good,,,,,,,
61010,Central Highlands (M),Good,,,,,,,
61210,Circular Head (M),Good,,,,,,,
61410,Clarence (C),Good,,,,,,,
61510,Derwent Valley (M),Good,,,,,,,
61610,Devonport (C),Good,,,,,,,
61810,Dorset (M),Good,,,,,,,
62010,Flinders (M),Good,,,,,,,
62210,George Town (M),Good,,,,,,,
62410,Glamorgan/Spring Bay (M),Good,,,,,,,
62610,Glenorchy (C),Good,,,,,,,
62810,Hobart (C),Good,,,,,,,
63010,Huon Valley (M),Good,,,,,,,
63210,Kentish (M),Good,,,,,,,
63410,King Island (M),Good,,,,,,,
63610,Kingborough (M),Good,,,,,,,
63810,Latrobe (M),Good,,,,,,,
64010,Launceston (C),Good,,,,,,,
64210,Meander Valley (M),Good,,,,,,,
64610,Northern Midlands (M),Good,,,,,,,
64810,Sorell (M),Good,,,,,,,
65010,Southern Midlands (M),Good,,,,,,,
65210,Tasman (M),Good,,,,,,,
65410,Waratah/Wynyard (M),Good,,,,,,,
65610,West Coast (M),Good,,,,,,,
65810,West Tamar (M),Good,,,,,,,
70200,Alice Springs (T),Good,,,,,,,
70420,Barkly (S),Good,,,,,,,
70540,Belyuen (S),Good,,,,,,,
70620,Central Desert (S),Good,,,,,,,
70700,Coomalie (S),Good,,,,,,,
71000,Darwin (C),Good,,,,,,,
71300,East Arnhem (S),Good,,,,,,,
72200,Katherine (T),Good,,,,,,,
72300,Litchfield (M),Good,,,,,,,
72330,MacDonnell (S),Good,,,,,,,
72800,Palmerston (C),Good,,,,,,,
73600,Roper Gulf (S),Good,,,,,,,
74050,Tiwi Islands (S),Good,,,,,,,
74500,Victoria-Daly (S),Good,,,,,,,
74560,Wagait (S),Good,,,,,,,
74660,West Arnhem (S),Good,,,,,,,
79399,Unincorporated NT,Good,,,,,,,
89399,Unincorporated ACT,Good,,,,,,,
99399,Unincorp. Other Territories,Good,,,,,,,
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2012,,,,,,,,,
