Statistical Division or Subdivision,LGA,Offence category,Subcategory,Score
Central Northern Sydney,Hornsby,Disorderly conduct,Trespass,1316
Central Northern Sydney,Hornsby,Disorderly conduct,Offensive conduct,740
Central Northern Sydney,Hornsby,Disorderly conduct,Offensive language,1084
Central Northern Sydney,Hornsby,Disorderly conduct,Criminal intent,495
Central Northern Sydney,Hornsby,Betting and gaming offences,,17
Central Northern Sydney,Hornsby,Liquor offences,,1394
Central Northern Sydney,Hornsby,Pornography offences,,58
Central Northern Sydney,Hornsby,Prostitution offences,,10
Central Northern Sydney,Hornsby,Against justice procedures,Escape custody,53
Central Northern Sydney,Hornsby,Against justice procedures,Breach Apprehended Violence Order,1604
Central Northern Sydney,Hornsby,Against justice procedures,Breach bail conditions,2595
Central Northern Sydney,Hornsby,Against justice procedures,Fail to appear,291
Central Northern Sydney,Hornsby,Against justice procedures,Resist or hinder officer,1063
Central Northern Sydney,Hornsby,Against justice procedures,Other offences against justice procedures,309
Central Northern Sydney,Hornsby,Transport regulatory offences,,29701
Central Northern Sydney,Hornsby,Other offences,,2997
Central Northern Sydney,Ku-ring-gai,Homicide,Murder (a),5
Central Northern Sydney,Ku-ring-gai,Homicide,Attempted murder,6
Central Northern Sydney,Ku-ring-gai,Homicide,"Murder accessory, conspiracy",0
Central Northern Sydney,Ku-ring-gai,Homicide,Manslaughter (a),2
Central Northern Sydney,Ku-ring-gai,Assault,Domestic violence related assault,1328
Central Northern Sydney,Ku-ring-gai,Assault,Non-domestic violence related assault,2574
Central Northern Sydney,Ku-ring-gai,Assault,Assault Police,94
Central Northern Sydney,Ku-ring-gai,Sexual offences,Sexual assault,319
Central Northern Sydney,Ku-ring-gai,Sexual offences,"Indecent assault, act of indecency and other sexual offences",892
Central Northern Sydney,Ku-ring-gai,Abduction and kidnapping,,31
Central Northern Sydney,Ku-ring-gai,Robbery,Robbery without a weapon,527
Central Northern Sydney,Ku-ring-gai,Robbery,Robbery with a firearm,92
Central Northern Sydney,Ku-ring-gai,Robbery,Robbery with a weapon not a firearm,346
Central Northern Sydney,Ku-ring-gai,Blackmail and extortion,,16
Central Northern Sydney,Ku-ring-gai,"Harassment, threatening behaviour and private nuisance",,1877
Central Northern Sydney,Ku-ring-gai,Other offences against the person,,184
Central Northern Sydney,Ku-ring-gai,Theft,Break and enter dwelling,16545
Central Northern Sydney,Ku-ring-gai,Theft,Break and enter non-dwelling,4700
Central Northern Sydney,Ku-ring-gai,Theft,Receiving or handling stolen goods,469
Central Northern Sydney,Ku-ring-gai,Theft,Motor vehicle theft,2652
Central Northern Sydney,Ku-ring-gai,Theft,Steal from motor vehicle,10991
Central Northern Sydney,Ku-ring-gai,Theft,Steal from retail store,1288
Central Northern Sydney,Ku-ring-gai,Theft,Steal from dwelling,5762
Central Northern Sydney,Ku-ring-gai,Theft,Steal from person,936
Central Northern Sydney,Ku-ring-gai,Theft,Stock theft,8
Central Northern Sydney,Ku-ring-gai,Theft,Fraud,5099
Central Northern Sydney,Ku-ring-gai,Theft,Other theft,5574
Central Northern Sydney,Ku-ring-gai,Arson,,548
Central Northern Sydney,Ku-ring-gai,Malicious damage to property,,15495
Central Northern Sydney,Ku-ring-gai,Drug offences,Possession and/or use of cocaine,25
Central Northern Sydney,Ku-ring-gai,Drug offences,Possession and/or use of narcotics,29
Central Northern Sydney,Ku-ring-gai,Drug offences,Possession and/or use of cannabis,1356
Central Northern Sydney,Ku-ring-gai,Drug offences,Possession and/or use of amphetamines,111
Central Northern Sydney,Ku-ring-gai,Drug offences,Possession and/or use of ecstasy,30
Central Northern Sydney,Ku-ring-gai,Drug offences,Possession and/or use of other drugs,74
Central Northern Sydney,Ku-ring-gai,Drug offences,"Dealing, trafficking in cocaine",12
Central Northern Sydney,Ku-ring-gai,Drug offences,"Dealing, trafficking in narcotics",3
Central Northern Sydney,Ku-ring-gai,Drug offences,"Dealing, trafficking in cannabis",52
Central Northern Sydney,Ku-ring-gai,Drug offences,"Dealing, trafficking in amphetamines",21
Central Northern Sydney,Ku-ring-gai,Drug offences,"Dealing, trafficking in ecstasy",10
Central Northern Sydney,Ku-ring-gai,Drug offences,"Dealing, trafficking in other drugs",5
Central Northern Sydney,Ku-ring-gai,Drug offences,Cultivating cannabis,52
Central Northern Sydney,Ku-ring-gai,Drug offences,Manufacture drug,5
Central Northern Sydney,Ku-ring-gai,Drug offences,Importing drugs,2
Central Northern Sydney,Ku-ring-gai,Drug offences,Other drug offences,296
Central Northern Sydney,Ku-ring-gai,Prohibited and regulated weapons offences,,837
Central Northern Sydney,Ku-ring-gai,Disorderly conduct,Trespass,609
Central Northern Sydney,Ku-ring-gai,Disorderly conduct,Offensive conduct,176
Central Northern Sydney,Ku-ring-gai,Disorderly conduct,Offensive language,198
Central Northern Sydney,Ku-ring-gai,Disorderly conduct,Criminal intent,282
Central Northern Sydney,Ku-ring-gai,Betting and gaming offences,,2
Central Northern Sydney,Ku-ring-gai,Liquor offences,,783
Central Northern Sydney,Ku-ring-gai,Pornography offences,,20
Central Northern Sydney,Ku-ring-gai,Prostitution offences,,0
Central Northern Sydney,Ku-ring-gai,Against justice procedures,Escape custody,6
Central Northern Sydney,Ku-ring-gai,Against justice procedures,Breach Apprehended Violence Order,563
Central Northern Sydney,Ku-ring-gai,Against justice procedures,Breach bail conditions,340
Central Northern Sydney,Ku-ring-gai,Against justice procedures,Fail to appear,26
Central Northern Sydney,Ku-ring-gai,Against justice procedures,Resist or hinder officer,246
Central Northern Sydney,Ku-ring-gai,Against justice procedures,Other offences against justice procedures,50
Central Northern Sydney,Ku-ring-gai,Transport regulatory offences,,7940
Central Northern Sydney,Ku-ring-gai,Other offences,,983
Central Northern Sydney,The Hills Shire,Homicide,Murder (a),26
Central Northern Sydney,The Hills Shire,Homicide,Attempted murder,16
Central Northern Sydney,The Hills Shire,Homicide,"Murder accessory, conspiracy",0
Central Northern Sydney,The Hills Shire,Homicide,Manslaughter (a),1
Central Northern Sydney,The Hills Shire,Assault,Domestic violence related assault,5115
Central Northern Sydney,The Hills Shire,Assault,Non-domestic violence related assault,6991
Central Northern Sydney,The Hills Shire,Assault,Assault Police,308
Central Northern Sydney,The Hills Shire,Sexual offences,Sexual assault,900
Central Northern Sydney,The Hills Shire,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1230
Central Northern Sydney,The Hills Shire,Abduction and kidnapping,,111
Central Northern Sydney,The Hills Shire,Robbery,Robbery without a weapon,794
Central Northern Sydney,The Hills Shire,Robbery,Robbery with a firearm,170
Central Northern Sydney,The Hills Shire,Robbery,Robbery with a weapon not a firearm,477
Central Northern Sydney,The Hills Shire,Blackmail and extortion,,40
Central Northern Sydney,The Hills Shire,"Harassment, threatening behaviour and private nuisance",,6302
Central Northern Sydney,The Hills Shire,Other offences against the person,,272
Central Northern Sydney,The Hills Shire,Theft,Break and enter dwelling,17361
Central Northern Sydney,The Hills Shire,Theft,Break and enter non-dwelling,7457
Central Northern Sydney,The Hills Shire,Theft,Receiving or handling stolen goods,912
Central Northern Sydney,The Hills Shire,Theft,Motor vehicle theft,7711
Central Northern Sydney,The Hills Shire,Theft,Steal from motor vehicle,17332
Central Northern Sydney,The Hills Shire,Theft,Steal from retail store,6597
Central Northern Sydney,The Hills Shire,Theft,Steal from dwelling,6448
Central Northern Sydney,The Hills Shire,Theft,Steal from person,1882
Central Northern Sydney,The Hills Shire,Theft,Stock theft,47
Central Northern Sydney,The Hills Shire,Theft,Fraud,11703
Central Northern Sydney,The Hills Shire,Theft,Other theft,9349
Central Northern Sydney,The Hills Shire,Arson,,1341
Central Northern Sydney,The Hills Shire,Malicious damage to property,,26847
Central Northern Sydney,The Hills Shire,Drug offences,Possession and/or use of cocaine,53
Central Northern Sydney,The Hills Shire,Drug offences,Possession and/or use of narcotics,38
Central Northern Sydney,The Hills Shire,Drug offences,Possession and/or use of cannabis,2716
Central Northern Sydney,The Hills Shire,Drug offences,Possession and/or use of amphetamines,437
Central Northern Sydney,The Hills Shire,Drug offences,Possession and/or use of ecstasy,295
Central Northern Sydney,The Hills Shire,Drug offences,Possession and/or use of other drugs,212
Central Northern Sydney,The Hills Shire,Drug offences,"Dealing, trafficking in cocaine",7
Central Northern Sydney,The Hills Shire,Drug offences,"Dealing, trafficking in narcotics",7
Central Northern Sydney,The Hills Shire,Drug offences,"Dealing, trafficking in cannabis",151
Central Northern Sydney,The Hills Shire,Drug offences,"Dealing, trafficking in amphetamines",85
Central Northern Sydney,The Hills Shire,Drug offences,"Dealing, trafficking in ecstasy",106
Central Northern Sydney,The Hills Shire,Drug offences,"Dealing, trafficking in other drugs",19
Central Northern Sydney,The Hills Shire,Drug offences,Cultivating cannabis,191
Central Northern Sydney,The Hills Shire,Drug offences,Manufacture drug,26
Central Northern Sydney,The Hills Shire,Drug offences,Importing drugs,5
Central Northern Sydney,The Hills Shire,Drug offences,Other drug offences,586
Central Northern Sydney,The Hills Shire,Prohibited and regulated weapons offences,,1654
Central Northern Sydney,The Hills Shire,Disorderly conduct,Trespass,1315
Central Northern Sydney,The Hills Shire,Disorderly conduct,Offensive conduct,439
Central Northern Sydney,The Hills Shire,Disorderly conduct,Offensive language,576
Central Northern Sydney,The Hills Shire,Disorderly conduct,Criminal intent,309
Central Northern Sydney,The Hills Shire,Betting and gaming offences,,11
Central Northern Sydney,The Hills Shire,Liquor offences,,1403
Central Northern Sydney,The Hills Shire,Pornography offences,,60
Central Northern Sydney,The Hills Shire,Prostitution offences,,4
Central Northern Sydney,The Hills Shire,Against justice procedures,Escape custody,23
Central Northern Sydney,The Hills Shire,Against justice procedures,Breach Apprehended Violence Order,1573
Central Northern Sydney,The Hills Shire,Against justice procedures,Breach bail conditions,2799
Central Northern Sydney,The Hills Shire,Against justice procedures,Fail to appear,126
Central Northern Sydney,The Hills Shire,Against justice procedures,Resist or hinder officer,696
Central Northern Sydney,The Hills Shire,Against justice procedures,Other offences against justice procedures,92
Central Northern Sydney,The Hills Shire,Transport regulatory offences,,440
Central Northern Sydney,The Hills Shire,Other offences,,2388
Northern Beaches,Manly,Homicide,Murder (a),6
Northern Beaches,Manly,Homicide,Attempted murder,11
Northern Beaches,Manly,Homicide,"Murder accessory, conspiracy",0
Northern Beaches,Manly,Homicide,Manslaughter (a),3
Northern Beaches,Manly,Assault,Domestic violence related assault,1545
Northern Beaches,Manly,Assault,Non-domestic violence related assault,5837
Northern Beaches,Manly,Assault,Assault Police,516
Northern Beaches,Manly,Sexual offences,Sexual assault,394
Northern Beaches,Manly,Sexual offences,"Indecent assault, act of indecency and other sexual offences",760
Northern Beaches,Manly,Abduction and kidnapping,,23
Northern Beaches,Manly,Robbery,Robbery without a weapon,495
Northern Beaches,Manly,Robbery,Robbery with a firearm,47
Northern Beaches,Manly,Robbery,Robbery with a weapon not a firearm,157
Northern Beaches,Manly,Blackmail and extortion,,3
Northern Beaches,Manly,"Harassment, threatening behaviour and private nuisance",,1665
Northern Beaches,Manly,Other offences against the person,,168
Northern Beaches,Manly,Theft,Break and enter dwelling,7254
Northern Beaches,Manly,Theft,Break and enter non-dwelling,2807
Northern Beaches,Manly,Theft,Receiving or handling stolen goods,1055
Northern Beaches,Manly,Theft,Motor vehicle theft,2814
Northern Beaches,Manly,Theft,Steal from motor vehicle,8559
Northern Beaches,Manly,Theft,Steal from retail store,2166
Northern Beaches,Manly,Theft,Steal from dwelling,4190
Northern Beaches,Manly,Theft,Steal from person,2679
Northern Beaches,Manly,Theft,Stock theft,8
Northern Beaches,Manly,Theft,Fraud,3976
Northern Beaches,Manly,Theft,Other theft,12912
Northern Beaches,Manly,Arson,,246
Northern Beaches,Manly,Malicious damage to property,,11107
Northern Beaches,Manly,Drug offences,Possession and/or use of cocaine,170
Northern Beaches,Manly,Drug offences,Possession and/or use of narcotics,100
Northern Beaches,Manly,Drug offences,Possession and/or use of cannabis,1668
Northern Beaches,Manly,Drug offences,Possession and/or use of amphetamines,232
Northern Beaches,Manly,Drug offences,Possession and/or use of ecstasy,178
Northern Beaches,Manly,Drug offences,Possession and/or use of other drugs,209
Northern Beaches,Manly,Drug offences,"Dealing, trafficking in cocaine",23
Northern Beaches,Manly,Drug offences,"Dealing, trafficking in narcotics",12
Northern Beaches,Manly,Drug offences,"Dealing, trafficking in cannabis",61
Northern Beaches,Manly,Drug offences,"Dealing, trafficking in amphetamines",77
Northern Beaches,Manly,Drug offences,"Dealing, trafficking in ecstasy",76
Northern Beaches,Manly,Drug offences,"Dealing, trafficking in other drugs",19
Northern Beaches,Manly,Drug offences,Cultivating cannabis,44
Northern Beaches,Manly,Drug offences,Manufacture drug,2
Northern Beaches,Manly,Drug offences,Importing drugs,0
Northern Beaches,Manly,Drug offences,Other drug offences,514
Northern Beaches,Manly,Prohibited and regulated weapons offences,,816
Northern Beaches,Manly,Disorderly conduct,Trespass,1023
Northern Beaches,Manly,Disorderly conduct,Offensive conduct,3732
Northern Beaches,Manly,Disorderly conduct,Offensive language,1495
Northern Beaches,Manly,Disorderly conduct,Criminal intent,307
Northern Beaches,Manly,Betting and gaming offences,,11
Northern Beaches,Manly,Liquor offences,,3804
Northern Beaches,Manly,Pornography offences,,19
Northern Beaches,Manly,Prostitution offences,,3
Northern Beaches,Manly,Against justice procedures,Escape custody,35
Northern Beaches,Manly,Against justice procedures,Breach Apprehended Violence Order,672
Northern Beaches,Manly,Against justice procedures,Breach bail conditions,2694
Northern Beaches,Manly,Against justice procedures,Fail to appear,236
Northern Beaches,Manly,Against justice procedures,Resist or hinder officer,1704
Northern Beaches,Manly,Against justice procedures,Other offences against justice procedures,127
Northern Beaches,Manly,Transport regulatory offences,,567
Northern Beaches,Manly,Other offences,,2873
Northern Beaches,Pittwater,Homicide,Murder (a),10
Northern Beaches,Pittwater,Homicide,Attempted murder,5
Northern Beaches,Pittwater,Homicide,"Murder accessory, conspiracy",0
Northern Beaches,Pittwater,Homicide,Manslaughter (a),2
Northern Beaches,Pittwater,Assault,Domestic violence related assault,1785
Northern Beaches,Pittwater,Assault,Non-domestic violence related assault,3331
Northern Beaches,Pittwater,Assault,Assault Police,185
Northern Beaches,Pittwater,Sexual offences,Sexual assault,445
Northern Beaches,Pittwater,Sexual offences,"Indecent assault, act of indecency and other sexual offences",697
Northern Beaches,Pittwater,Abduction and kidnapping,,47
Northern Beaches,Pittwater,Robbery,Robbery without a weapon,209
Northern Beaches,Pittwater,Robbery,Robbery with a firearm,34
Northern Beaches,Pittwater,Robbery,Robbery with a weapon not a firearm,58
Northern Beaches,Pittwater,Blackmail and extortion,,4
Northern Beaches,Pittwater,"Harassment, threatening behaviour and private nuisance",,2147
Northern Beaches,Pittwater,Other offences against the person,,236
Northern Beaches,Pittwater,Theft,Break and enter dwelling,5951
Northern Beaches,Pittwater,Theft,Break and enter non-dwelling,3506
Northern Beaches,Pittwater,Theft,Receiving or handling stolen goods,309
Northern Beaches,Pittwater,Theft,Motor vehicle theft,2666
Northern Beaches,Pittwater,Theft,Steal from motor vehicle,10179
Northern Beaches,Pittwater,Theft,Steal from retail store,1610
Northern Beaches,Pittwater,Theft,Steal from dwelling,3525
Northern Beaches,Pittwater,Theft,Steal from person,812
Northern Beaches,Pittwater,Theft,Stock theft,10
Northern Beaches,Pittwater,Theft,Fraud,3335
Northern Beaches,Pittwater,Theft,Other theft,7730
Northern Beaches,Pittwater,Arson,,511
Northern Beaches,Pittwater,Malicious damage to property,,12920
Northern Beaches,Pittwater,Drug offences,Possession and/or use of cocaine,56
Northern Beaches,Pittwater,Drug offences,Possession and/or use of narcotics,39
Northern Beaches,Pittwater,Drug offences,Possession and/or use of cannabis,1028
Northern Beaches,Pittwater,Drug offences,Possession and/or use of amphetamines,124
Northern Beaches,Pittwater,Drug offences,Possession and/or use of ecstasy,73
Northern Beaches,Pittwater,Drug offences,Possession and/or use of other drugs,76
Northern Beaches,Pittwater,Drug offences,"Dealing, trafficking in cocaine",39
Northern Beaches,Pittwater,Drug offences,"Dealing, trafficking in narcotics",8
Northern Beaches,Pittwater,Drug offences,"Dealing, trafficking in cannabis",44
Northern Beaches,Pittwater,Drug offences,"Dealing, trafficking in amphetamines",24
Northern Beaches,Pittwater,Drug offences,"Dealing, trafficking in ecstasy",27
Northern Beaches,Pittwater,Drug offences,"Dealing, trafficking in other drugs",3
Northern Beaches,Pittwater,Drug offences,Cultivating cannabis,101
Northern Beaches,Pittwater,Drug offences,Manufacture drug,5
Northern Beaches,Pittwater,Drug offences,Importing drugs,5
Northern Beaches,Pittwater,Drug offences,Other drug offences,187
Northern Beaches,Pittwater,Prohibited and regulated weapons offences,,539
Northern Beaches,Pittwater,Disorderly conduct,Trespass,899
Northern Beaches,Pittwater,Disorderly conduct,Offensive conduct,656
Northern Beaches,Pittwater,Disorderly conduct,Offensive language,481
Northern Beaches,Pittwater,Disorderly conduct,Criminal intent,109
Northern Beaches,Pittwater,Betting and gaming offences,,6
Northern Beaches,Pittwater,Liquor offences,,3361
Northern Beaches,Pittwater,Pornography offences,,40
Northern Beaches,Pittwater,Prostitution offences,,2
Northern Beaches,Pittwater,Against justice procedures,Escape custody,22
Northern Beaches,Pittwater,Against justice procedures,Breach Apprehended Violence Order,840
Northern Beaches,Pittwater,Against justice procedures,Breach bail conditions,504
Northern Beaches,Pittwater,Against justice procedures,Fail to appear,29
Northern Beaches,Pittwater,Against justice procedures,Resist or hinder officer,614
Northern Beaches,Pittwater,Against justice procedures,Other offences against justice procedures,48
Northern Beaches,Pittwater,Transport regulatory offences,,192
Northern Beaches,Pittwater,Other offences,,4313
Northern Beaches,Warringah,Homicide,Murder (a),23
Northern Beaches,Warringah,Homicide,Attempted murder,15
Northern Beaches,Warringah,Homicide,"Murder accessory, conspiracy",0
Northern Beaches,Warringah,Homicide,Manslaughter (a),3
Northern Beaches,Warringah,Assault,Domestic violence related assault,5220
Northern Beaches,Warringah,Assault,Non-domestic violence related assault,8216
Northern Beaches,Warringah,Assault,Assault Police,433
Northern Beaches,Warringah,Sexual offences,Sexual assault,881
Northern Beaches,Warringah,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1627
Northern Beaches,Warringah,Abduction and kidnapping,,82
Northern Beaches,Warringah,Robbery,Robbery without a weapon,964
Northern Beaches,Warringah,Robbery,Robbery with a firearm,124
Northern Beaches,Warringah,Robbery,Robbery with a weapon not a firearm,421
Northern Beaches,Warringah,Blackmail and extortion,,13
Northern Beaches,Warringah,"Harassment, threatening behaviour and private nuisance",,5646
Northern Beaches,Warringah,Other offences against the person,,462
Northern Beaches,Warringah,Theft,Break and enter dwelling,14244
Northern Beaches,Warringah,Theft,Break and enter non-dwelling,8656
Northern Beaches,Warringah,Theft,Receiving or handling stolen goods,1438
Northern Beaches,Warringah,Theft,Motor vehicle theft,6712
Northern Beaches,Warringah,Theft,Steal from motor vehicle,19432
Northern Beaches,Warringah,Theft,Steal from retail store,7170
Northern Beaches,Warringah,Theft,Steal from dwelling,7703
Northern Beaches,Warringah,Theft,Steal from person,2420
Northern Beaches,Warringah,Theft,Stock theft,19
Northern Beaches,Warringah,Theft,Fraud,11253
Northern Beaches,Warringah,Theft,Other theft,13177
Northern Beaches,Warringah,Arson,,1501
Northern Beaches,Warringah,Malicious damage to property,,28948
Northern Beaches,Warringah,Drug offences,Possession and/or use of cocaine,98
Northern Beaches,Warringah,Drug offences,Possession and/or use of narcotics,155
Northern Beaches,Warringah,Drug offences,Possession and/or use of cannabis,2403
Northern Beaches,Warringah,Drug offences,Possession and/or use of amphetamines,358
Northern Beaches,Warringah,Drug offences,Possession and/or use of ecstasy,106
Northern Beaches,Warringah,Drug offences,Possession and/or use of other drugs,238
Northern Beaches,Warringah,Drug offences,"Dealing, trafficking in cocaine",28
Northern Beaches,Warringah,Drug offences,"Dealing, trafficking in narcotics",33
Northern Beaches,Warringah,Drug offences,"Dealing, trafficking in cannabis",131
Northern Beaches,Warringah,Drug offences,"Dealing, trafficking in amphetamines",117
Northern Beaches,Warringah,Drug offences,"Dealing, trafficking in ecstasy",60
Northern Beaches,Warringah,Drug offences,"Dealing, trafficking in other drugs",11
Northern Beaches,Warringah,Drug offences,Cultivating cannabis,195
Northern Beaches,Warringah,Drug offences,Manufacture drug,17
Northern Beaches,Warringah,Drug offences,Importing drugs,6
Northern Beaches,Warringah,Drug offences,Other drug offences,508
Northern Beaches,Warringah,Prohibited and regulated weapons offences,,1418
Northern Beaches,Warringah,Disorderly conduct,Trespass,2070
Northern Beaches,Warringah,Disorderly conduct,Offensive conduct,960
Northern Beaches,Warringah,Disorderly conduct,Offensive language,951
Northern Beaches,Warringah,Disorderly conduct,Criminal intent,370
Northern Beaches,Warringah,Betting and gaming offences,,23
Northern Beaches,Warringah,Liquor offences,,3478
Northern Beaches,Warringah,Pornography offences,,65
Northern Beaches,Warringah,Prostitution offences,,3
Northern Beaches,Warringah,Against justice procedures,Escape custody,38
Northern Beaches,Warringah,Against justice procedures,Breach Apprehended Violence Order,2067
Northern Beaches,Warringah,Against justice procedures,Breach bail conditions,4874
Northern Beaches,Warringah,Against justice procedures,Fail to appear,384
Northern Beaches,Warringah,Against justice procedures,Resist or hinder officer,1146
Northern Beaches,Warringah,Against justice procedures,Other offences against justice procedures,177
Northern Beaches,Warringah,Transport regulatory offences,,1405
Northern Beaches,Warringah,Other offences,,3336
Central Coast,Gosford,Homicide,Murder (a),35
Central Coast,Gosford,Homicide,Attempted murder,28
Central Coast,Gosford,Homicide,"Murder accessory, conspiracy",0
Central Coast,Gosford,Homicide,Manslaughter (a),8
Central Coast,Gosford,Assault,Domestic violence related assault,10258
Central Coast,Gosford,Assault,Non-domestic violence related assault,18289
Central Coast,Gosford,Assault,Assault Police,1193
Central Coast,Gosford,Sexual offences,Sexual assault,2086
Central Coast,Gosford,Sexual offences,"Indecent assault, act of indecency and other sexual offences",2823
Central Coast,Gosford,Abduction and kidnapping,,146
Central Coast,Gosford,Robbery,Robbery without a weapon,1036
Central Coast,Gosford,Robbery,Robbery with a firearm,121
Central Coast,Gosford,Robbery,Robbery with a weapon not a firearm,555
Central Coast,Gosford,Blackmail and extortion,,19
Central Coast,Gosford,"Harassment, threatening behaviour and private nuisance",,9399
Central Coast,Gosford,Other offences against the person,,460
Central Coast,Gosford,Theft,Break and enter dwelling,29198
Central Coast,Gosford,Theft,Break and enter non-dwelling,15869
Central Coast,Gosford,Theft,Receiving or handling stolen goods,3007
Central Coast,Gosford,Theft,Motor vehicle theft,14638
Central Coast,Gosford,Theft,Steal from motor vehicle,28892
Central Coast,Gosford,Theft,Steal from retail store,11549
Central Coast,Gosford,Theft,Steal from dwelling,13634
Central Coast,Gosford,Theft,Steal from person,3861
Central Coast,Gosford,Theft,Stock theft,69
Central Coast,Gosford,Theft,Fraud,12220
Central Coast,Gosford,Theft,Other theft,22389
Central Coast,Gosford,Arson,,2832
Central Coast,Gosford,Malicious damage to property,,51839
Central Coast,Gosford,Drug offences,Possession and/or use of cocaine,53
Central Coast,Gosford,Drug offences,Possession and/or use of narcotics,318
Central Coast,Gosford,Drug offences,Possession and/or use of cannabis,5139
Central Coast,Gosford,Drug offences,Possession and/or use of amphetamines,693
Central Coast,Gosford,Drug offences,Possession and/or use of ecstasy,291
Central Coast,Gosford,Drug offences,Possession and/or use of other drugs,380
Central Coast,Gosford,Drug offences,"Dealing, trafficking in cocaine",17
Central Coast,Gosford,Drug offences,"Dealing, trafficking in narcotics",170
Central Coast,Gosford,Drug offences,"Dealing, trafficking in cannabis",232
Central Coast,Gosford,Drug offences,"Dealing, trafficking in amphetamines",235
Central Coast,Gosford,Drug offences,"Dealing, trafficking in ecstasy",194
Central Coast,Gosford,Drug offences,"Dealing, trafficking in other drugs",50
Central Coast,Gosford,Drug offences,Cultivating cannabis,708
Central Coast,Gosford,Drug offences,Manufacture drug,32
Central Coast,Gosford,Drug offences,Importing drugs,8
Central Coast,Gosford,Drug offences,Other drug offences,1069
Central Coast,Gosford,Prohibited and regulated weapons offences,,2523
Central Coast,Gosford,Disorderly conduct,Trespass,3198
Central Coast,Gosford,Disorderly conduct,Offensive conduct,2380
Central Coast,Gosford,Disorderly conduct,Offensive language,2941
Central Coast,Gosford,Disorderly conduct,Criminal intent,729
Central Coast,Gosford,Betting and gaming offences,,23
Central Coast,Gosford,Liquor offences,,4753
Central Coast,Gosford,Pornography offences,,122
Central Coast,Gosford,Prostitution offences,,15
Central Coast,Gosford,Against justice procedures,Escape custody,109
Central Coast,Gosford,Against justice procedures,Breach Apprehended Violence Order,5934
Central Coast,Gosford,Against justice procedures,Breach bail conditions,7062
Central Coast,Gosford,Against justice procedures,Fail to appear,546
Central Coast,Gosford,Against justice procedures,Resist or hinder officer,3075
Central Coast,Gosford,Against justice procedures,Other offences against justice procedures,817
Central Coast,Gosford,Transport regulatory offences,,25108
Central Coast,Gosford,Other offences,,6351
Central Coast,Wyong,Homicide,Murder (a),50
Central Coast,Wyong,Homicide,Attempted murder,34
Central Coast,Wyong,Homicide,"Murder accessory, conspiracy",9
Central Coast,Wyong,Homicide,Manslaughter (a),3
Central Coast,Wyong,Assault,Domestic violence related assault,14623
Central Coast,Wyong,Assault,Non-domestic violence related assault,19523
Central Coast,Wyong,Assault,Assault Police,1178
Central Coast,Wyong,Sexual offences,Sexual assault,2582
Central Coast,Wyong,Sexual offences,"Indecent assault, act of indecency and other sexual offences",3128
Central Coast,Wyong,Abduction and kidnapping,,162
Central Coast,Wyong,Robbery,Robbery without a weapon,924
Central Coast,Wyong,Robbery,Robbery with a firearm,208
Central Coast,Wyong,Robbery,Robbery with a weapon not a firearm,524
Central Coast,Wyong,Blackmail and extortion,,11
Central Coast,Wyong,"Harassment, threatening behaviour and private nuisance",,12112
Central Coast,Wyong,Other offences against the person,,674
Central Coast,Wyong,Theft,Break and enter dwelling,27005
Central Coast,Wyong,Theft,Break and enter non-dwelling,14125
Central Coast,Wyong,Theft,Receiving or handling stolen goods,2964
Central Coast,Wyong,Theft,Motor vehicle theft,16572
Central Coast,Wyong,Theft,Steal from motor vehicle,26867
Central Coast,Wyong,Theft,Steal from retail store,9844
Central Coast,Wyong,Theft,Steal from dwelling,13271
Central Coast,Wyong,Theft,Steal from person,2626
Central Coast,Wyong,Theft,Stock theft,93
Central Coast,Wyong,Theft,Fraud,12559
Central Coast,Wyong,Theft,Other theft,17615
Central Coast,Wyong,Arson,,3033
Central Coast,Wyong,Malicious damage to property,,55408
Central Coast,Wyong,Drug offences,Possession and/or use of cocaine,28
Central Coast,Wyong,Drug offences,Possession and/or use of narcotics,186
Central Coast,Wyong,Drug offences,Possession and/or use of cannabis,4431
Central Coast,Wyong,Drug offences,Possession and/or use of amphetamines,764
Central Coast,Wyong,Drug offences,Possession and/or use of ecstasy,166
Central Coast,Wyong,Drug offences,Possession and/or use of other drugs,202
Central Coast,Wyong,Drug offences,"Dealing, trafficking in cocaine",5
Central Coast,Wyong,Drug offences,"Dealing, trafficking in narcotics",33
Central Coast,Wyong,Drug offences,"Dealing, trafficking in cannabis",550
Central Coast,Wyong,Drug offences,"Dealing, trafficking in amphetamines",396
Central Coast,Wyong,Drug offences,"Dealing, trafficking in ecstasy",170
Central Coast,Wyong,Drug offences,"Dealing, trafficking in other drugs",16
Central Coast,Wyong,Drug offences,Cultivating cannabis,811
Central Coast,Wyong,Drug offences,Manufacture drug,44
Central Coast,Wyong,Drug offences,Importing drugs,8
Central Coast,Wyong,Drug offences,Other drug offences,785
Central Coast,Wyong,Prohibited and regulated weapons offences,,2611
Central Coast,Wyong,Disorderly conduct,Trespass,3120
Central Coast,Wyong,Disorderly conduct,Offensive conduct,1922
Central Coast,Wyong,Disorderly conduct,Offensive language,2438
Central Coast,Wyong,Disorderly conduct,Criminal intent,678
Central Coast,Wyong,Betting and gaming offences,,15
Central Coast,Wyong,Liquor offences,,3411
